Account Number,Property Address,Permit Codes,Permit Amt,Contrib Amt,Yr Built,Eff Yr Built,Addl Impr Amt,Num Stories,Tot Liv Area SF,Tot Living PSF,Living Area,Living Area PSF,Bldg Class,Desirability,Depr Pct,Market Val,Prior Mkt Val,Mkt Change Pct,Sale Date,Sale Desc,Adj Sale Price
Acct:282432100412R0000,4538 ROSEMONT AVE,,,,1993,1993,,ONE STORY,2122,$77.29 ,2122,$77.29 ,16,AVERAGE,0.3,"$164,000 ","$149,700 ",9.5524,,,
Acct:282432100315R0000,200 WESTBRIAR LN,,,,1993,1993,,TWO STORIES,2746,$73.50 ,2746,$73.50 ,16,GOOD,0.25,"$201,820 ","$179,900 ",12.1845,,,
Acct:282432100501R0000,201 WESTBRIAR LN,,,,1996,1996,,ONE STORY,1934,$84.99 ,1934,$84.99 ,16,GOOD,0.25,"$164,380 ","$149,320 ",10.0857,,,
Acct:282432100314R0000,204 WESTBRIAR LN,,,,1995,1995,,ONE AND ONE HALF STORIES,3323,$57.18 ,3323,$57.18 ,16,AVERAGE,0.3,"$190,000 ","$178,590 ",6.3889,,,
Acct:282432100502R0000,205 WESTBRIAR LN,,,,1993,1998,"$1,000 ",TWO STORIES,2884,$79.48 ,2884,$79.48 ,16,VERY GOOD,0.15,"$229,210 ","$217,350 ",5.4566,,,
Acct:282432100313R0000,208 WESTBRIAR LN,,,,1996,1996,$800 ,ONE STORY,1869,$88.05 ,1869,$88.05 ,16,GOOD,0.25,"$164,560 ","$149,570 ",10.0221,,,
Acct:282432100503R0000,209 WESTBRIAR LN,,,,1995,1995,,ONE STORY,1716,$89.66 ,1716,$89.66 ,16,GOOD,0.25,"$153,860 ","$139,980 ",9.9157,,,
Acct:282432100312R0000,212 WESTBRIAR LN,3,"$15,785 ",$0 ,1993,1993,,ONE STORY,2122,$81.06 ,2122,$81.06 ,16,GOOD,0.25,"$172,000 ","$158,250 ",8.6888,2/5/16,MARKET SALE,"$172,000 "
Acct:282432100504R0000,213 WESTBRIAR LN,,,,1996,1996,,TWO STORIES,2575,$73.67 ,2575,$73.67 ,16,GOOD,0.25,"$189,700 ","$171,800 ",10.4191,,,
Acct:282432100311R0000,216 WESTBRIAR LN,,,,1993,1993,,ONE STORY,2353,$79.20 ,2353,$79.20 ,16,GOOD,0.25,"$186,350 ","$168,830 ",10.3773,,,
