Account Number,Property Address,Permit Codes,Permit Amt,Contrib Amt,Yr Built,Eff Yr Built,Addl Impr Amt,Num Stories,Tot Liv Area SF,Tot Living PSF,Living Area,Living Area PSF,Bldg Class,Desirability,Depr Pct,Market Val,Prior Mkt Val,Mkt Change Pct,Sale Date,Sale Desc,Adj Sale Price
Acct:220955300G0010000,1150 COLBERT LN,,,,1986,2000,,TWO STORIES,1990,$60.07 ,1990,$60.07 ,14,VERY GOOD,0.15,"$119,540 ","$113,100 ",5.6941,1/3/14,MARKET SALE,"$113,000 "
Acct:220955300F0330000,1151 COLBERT LN,,,,1996,1996,,ONE STORY,1221,$76.11 ,1221,$76.11 ,14,VERY GOOD,0.2,"$92,930 ","$83,860 ",10.8156,,,
Acct:220955300F0340000,1155 COLBERT LN,,,,1996,1996,,ONE STORY,1248,$71.59 ,1248,$71.59 ,14,GOOD,0.25,"$89,350 ","$80,670 ",10.7599,,,
Acct:220955300F0350000,1159 COLBERT LN,,,,1995,1995,,TWO STORIES,1580,$60.37 ,1580,$60.37 ,14,AVERAGE,0.3,"$95,390 ","$86,040 ",10.867,6/30/14,MARKET SALE,"$83,700 "
Acct:220955300F0360000,1163 COLBERT LN,,,,1995,1995,,TWO STORIES,1446,$63.23 ,1446,$63.23 ,14,AVERAGE,0.3,"$91,430 ","$82,520 ",10.7974,,,
Acct:220955300F0370000,1167 COLBERT LN,,,,1985,1985,,ONE STORY,1122,$65.70 ,1122,$65.70 ,14,GOOD,0.35,"$73,720 ","$66,800 ",10.3593,,,
Acct:220955400F0160000,902 FAIRBANKS CIR,,,,1986,1986,,ONE STORY,1096,$61.29 ,1096,$61.29 ,14,GOOD,0.35,"$67,170 ","$60,980 ",10.1509,,,
Acct:220955400E0360000,903 FAIRBANKS CIR,,,,1996,1996,,ONE AND ONE HALF STORIES,1235,$61.94 ,1235,$61.94 ,14,AVERAGE,0.3,"$76,500 ","$69,270 ",10.4374,,,
Acct:220955400F0150000,904 FAIRBANKS CIR,,,,1986,1986,,ONE AND ONE HALF STORIES,1188,$54.60 ,1188,$54.60 ,14,GOOD,0.35,"$64,860 ","$58,930 ",10.0628,,,
Acct:220955400E0350000,905 FAIRBANKS CIR,,,,1996,1996,,ONE AND ONE HALF STORIES,1235,$69.41 ,1235,$69.41 ,14,VERY GOOD,0.2,"$85,720 ","$77,450 ",10.6779,,,
Acct:220955400F0140000,906 FAIRBANKS CIR,,,,1986,1986,,ONE AND ONE HALF STORIES,1100,$52.51 ,1100,$52.51 ,14,AVERAGE,0.4,"$57,760 ","$52,630 ",9.7473,,,
Acct:220955400E0340000,907 FAIRBANKS CIR,,,,1996,1996,,ONE AND ONE HALF STORIES,1495,$55.71 ,1495,$55.71 ,14,GOOD,0.25,"$83,280 ","$75,280 ",10.627,,,
Acct:220955400F0130000,908 FAIRBANKS CIR,,,,1996,1996,,TWO STORIES,1240,$64.29 ,1240,$64.29 ,14,GOOD,0.25,"$79,720 ","$72,120 ",10.538,,,
Acct:220955400E0330000,909 FAIRBANKS CIR,,,,2005,2005,,TWO STORIES,1415,$70.47 ,1415,$70.47 ,14,GOOD,0.15,"$99,720 ","$89,880 ",10.9479,,,
Acct:220955400F0120000,910 FAIRBANKS CIR,,,,1996,1996,,TWO STORIES,1142,$70.05 ,1142,$70.05 ,14,AVERAGE,0.3,"$80,000 ","$69,100 ",15.7742,9/28/12,FORECLOSURE,"$43,000 "
