Account Number,Property Address,Permit Codes,Permit Amt,Contrib Amt,Yr Built,Eff Yr Built,Addl Impr Amt,Num Stories,Tot Liv Area SF,Tot Living PSF,Living Area,Living Area PSF,Bldg Class,Desirability,Depr Pct,Market Val,Prior Mkt Val,Mkt Change Pct,Sale Date,Sale Desc,Adj Sale Price
Acct:00000644656000000,6319 SONGWOOD DR,,,,1962,1962,,ONE STORY,1311,$46.58 ,1311,$46.58 ,14,AVERAGE,0.5,"$61,060 ","$53,830 ",13.4312,,,
Acct:00000644506000000,6322 SONGWOOD DR,,,,1962,1962,,ONE STORY,1168,$47.86 ,1168,$47.86 ,14,AVERAGE,0.5,"$55,900 ","$49,410 ",13.135,,,
Acct:00000644653000000,6323 SONGWOOD DR,,,,1962,1962,"$8,316 ",ONE STORY,2238,$29.63 ,1776,$37.34 ,14,FAIR,0.6,"$66,310 ","$59,520 ",11.4079,,,
Acct:00000644503000000,6326 SONGWOOD DR,,,,1962,1962,,ONE STORY,1078,$49.95 ,1078,$49.95 ,14,AVERAGE,0.5,"$53,850 ","$47,640 ",13.0353,,,
Acct:00000644650000000,6327 SONGWOOD DR,,,,1962,1962,,ONE STORY,1282,$40.13 ,1282,$40.13 ,14,FAIR,0.6,"$51,450 ","$45,580 ",12.8785,,,
Acct:00000644500000000,6330 SONGWOOD DR,,,,1962,1962,,ONE STORY,1078,$50.46 ,1078,$50.46 ,14,AVERAGE,0.5,"$54,400 ","$48,110 ",13.0742,,,
Acct:00000644647000000,6331 SONGWOOD DR,,,,1962,1962,,ONE STORY,1256,$40.24 ,1256,$40.24 ,14,FAIR,0.6,"$50,540 ","$44,800 ",12.8125,,,
Acct:00000644497000000,6336 SONGWOOD DR,,,,1962,1962,,ONE STORY,1256,$52.34 ,1256,$52.34 ,14,GOOD,0.45,"$65,740 ","$57,850 ",13.6387,,,
Acct:00000644644000000,6337 SONGWOOD DR,,,,1962,1962,"$6,528 ",ONE STORY,1588,$39.26 ,1188,$52.47 ,14,GOOD,0.45,"$62,340 ","$55,860 ",11.6004,,,
Acct:00000644239000000,1605 TRADE WINDS DR,,,,1971,1971,,ONE STORY,1636,$51.71 ,1636,$51.71 ,14,GOOD,0.4,"$84,590 ","$74,030 ",14.2645,,,
Acct:00000644242000000,1606 TRADE WINDS DR,,,,1962,1962,$540 ,ONE AND ONE HALF STORIES,2499,$34.61 ,2499,$34.61 ,14,AVERAGE,0.5,"$86,490 ","$75,750 ",14.1782,,,
Acct:00000644236000000,1611 TRADE WINDS DR,,,,1973,1973,,ONE STORY,1107,$50.70 ,1107,$50.70 ,14,AVERAGE,0.45,"$56,120 ","$49,600 ",13.1452,,,
Acct:00000644245000000,1612 TRADE WINDS DR,,,,1962,1962,,ONE STORY,1662,$35.34 ,1662,$35.34 ,14,FAIR,0.6,"$58,740 ","$51,850 ",13.2883,,,
Acct:00000644233000000,1615 TRADE WINDS DR,,,,1973,1973,,ONE STORY,1107,$50.70 ,1107,$50.70 ,14,AVERAGE,0.45,"$56,120 ","$49,600 ",13.1452,,,
Acct:00000644248000000,1616 TRADE WINDS DR,,,,1972,1972,,ONE STORY,1263,$43.67 ,1263,$43.67 ,14,FAIR,0.55,"$55,160 ","$48,770 ",13.1023,,,
Acct:00000644230000000,1619 TRADE WINDS DR,,,,1973,1973,"$7,776 ",ONE STORY,1395,$42.45 ,1107,$53.50 ,14,AVERAGE,0.45,"$59,220 ","$53,350 ",11.0028,,,
Acct:00000644251000000,1620 TRADE WINDS DR,,,,1972,1972,,ONE STORY,1514,$50.75 ,1514,$50.75 ,14,GOOD,0.4,"$76,840 ","$67,380 ",14.0398,,,
Acct:00000644227000000,1623 TRADE WINDS DR,,,,1972,1972,,ONE STORY,1397,$47.05 ,1397,$47.05 ,14,AVERAGE,0.45,"$65,730 ","$57,840 ",13.6411,,,
Acct:00000644254000000,1624 TRADE WINDS DR,,,,1972,1972,,ONE STORY,1263,$51.62 ,1263,$51.62 ,14,AVERAGE,0.45,"$65,200 ","$57,390 ",13.6086,,,
Acct:00000644224000000,1627 TRADE WINDS DR,,,,1972,1972,"$5,544 ",ONE STORY,1340,$46.16 ,1100,$56.23 ,14,GOOD,0.4,"$61,850 ","$55,300 ",11.8445,,,
Acct:00000644257000000,1628 TRADE WINDS DR,,,,1972,1972,"$5,280 ",ONE STORY,1107,$63.15 ,1107,$63.15 ,14,GOOD,0.4,"$69,910 ","$62,180 ",12.4317,,,
Acct:00000644221000000,1703 TRADE WINDS DR,,,,1972,1972,,ONE STORY,1263,$51.62 ,1263,$51.62 ,14,AVERAGE,0.45,"$65,200 ","$57,390 ",13.6086,,,
